seq,domain_id,domain,subdomain_id,subdomain,rows,xlsx_first,xlsx_last,flags
102,18,Employee Mobile App & AI Assistant,18.3,Asset Scanning & Lookup,5,2537,2541,
103,18,Employee Mobile App & AI Assistant,18.4,Safety & Incident Reporting,6,2542,2547,
104,18,Employee Mobile App & AI Assistant,18.5,Media Capture & Notes,5,2548,2552,
105,18,Employee Mobile App & AI Assistant,18.6,Approvals & Notifications,4,2553,2556,
106,18,Employee Mobile App & AI Assistant,18.7,Inventory & Stock Management,4,2557,2560,
107,18,Employee Mobile App & AI Assistant,18.8,Ticket & Membership Scanning,4,2561,2564,
108,18,Employee Mobile App & AI Assistant,18.9,Attendance & Communications,5,2565,2569,
109,18,Employee Mobile App & AI Assistant,18.10,AI Assistant & Voice Interface,5,2570,2574,
110,19,Guest Mobile App & Branding,19.1,Branding & White-Label Configuration,24,2575,2598,
111,19,Guest Mobile App & Branding,19.2,Authentication & Login,83,2599,2681,
112,20,Subscription & Licensing Management,20.1,Self-Service Onboarding,6,2682,2687,
113,20,Subscription & Licensing Management,20.2,Subscription Management,8,2688,2695,
114,20,Subscription & Licensing Management,20.3,Licensing Models,7,2696,2702,
115,20,Subscription & Licensing Management,20.4,Module Marketplace & Management,10,2703,2712,
116,20,Subscription & Licensing Management,20.5,License Enforcement & Renewal,8,2713,2720,
117,20,Subscription & Licensing Management,20.6,Usage & Quota Monitoring,8,2721,2728,
118,20,Subscription & Licensing Management,20.7,Billing & Payment,7,2729,2735,
119,20,Subscription & Licensing Management,20.8,Customer Support & Helpdesk,5,2736,2740,
120,21,Seat Management & Venue Mapping,21.1,Seat Map Builder,9,2741,2749,
121,21,Seat Management & Venue Mapping,21.2,Seat Map Import,17,2750,2766,
122,21,Seat Management & Venue Mapping,21.3,Layout & Templates,7,2767,2773,
123,21,Seat Management & Venue Mapping,21.4,Seat Tracking & Holds,8,2774,2781,
124,21,Seat Management & Venue Mapping,21.5,Seat Selection & Assignment,24,2782,2805,
125,21,Seat Management & Venue Mapping,21.6,Seat Holds & Blocks,8,2806,2813,
126,21,Seat Management & Venue Mapping,21.7,Seating Rules & Buffer,6,2814,2819,
127,21,Seat Management & Venue Mapping,21.8,Accessible Seating,4,2820,2823,
128,21,Seat Management & Venue Mapping,21.9,Group Reservations & Blocks,5,2824,2828,
129,21,Seat Management & Venue Mapping,21.10,Seat Recommendations,7,2829,2835,
130,21,Seat Management & Venue Mapping,21.11,Seat Revenue Management & Forecasting,5,2836,2840,
131,21,Seat Management & Venue Mapping,21.12,Seat Reporting & Analytics,6,2841,2846,
132,21,Seat Management & Venue Mapping,21.13,Seat Platform & API,6,2847,2852,
133,22,Marketing & CRM,22.1,Campaign Management,20,2853,2872,
134,22,Marketing & CRM,22.2,Guest Profiles & Data Management,28,2873,2900,
135,22,Marketing & CRM,22.3,Case Management & SLA,32,2901,2932,DUP_REQ_ID
136,22,Marketing & CRM,22.4,Newsletter & Email Marketing,20,2933,2952,
137,22,Marketing & CRM,22.5,Reviews & Ratings,20,2953,2972,
138,22,Marketing & CRM,22.6,Gamification & Loyalty,20,2973,2992,
139,22,Marketing & CRM,22.7,Surveys & Feedback,21,2993,3013,
140,22,Marketing & CRM,22.8,Omnichannel Communications & AI Chatbot,26,3014,3039,
141,22,Marketing & CRM,22.9,Notifications & Messaging,25,3040,3064,
142,22,Marketing & CRM,22.10,Marketing,30,3065,3094,
143,22,Marketing & CRM,22.11,SEO Management & Optimization,12,3095,3106,
144,22,Marketing & CRM,22.12,Digital Waivers & Signature Management,20,3107,3126,
145,22,Marketing & CRM,22.13,Consent Management,20,3127,3146,
146,22,Marketing & CRM,22.14,Audience Segmentation,25,3147,3171,
147,23,Digital Asset Management,23.1,Digital Asset Management,15,3172,3186,
