domain_id,domain,sub_id,sub,rows,first,last,labelled_contract,signal_1,signal_2,signal_3,mismatch
5,F&B & Guest Management,5.5,Portfolio & Entitlement Management,30,1176,1205,finance,orders:0.3,promotions:0.3,marketing-crm:0.3,
5,F&B & Guest Management,5.6,Virtual Queue,46,1206,1251,finance,queue:1.1,orders:0.3,catalogue:0.3,YES
5,F&B & Guest Management,5.7,Accounting,99,1252,1350,finance,finance:0.7,reporting:0.3,orders:0.2,
5,F&B & Guest Management,5.8,Cash Handling,9,1351,1359,finance,finance:0.2,orders:0.1,identity:0.1,
5,F&B & Guest Management,5.9,Shift opening and closing,10,1360,1369,finance,reporting:0.7,catalogue:0.4,finance:0.1,YES
5,F&B & Guest Management,5.10,Receipt,3,1370,1372,finance,finance:1.7,catalogue:0.0,orders:0.0,
5,F&B & Guest Management,5.11,Double-Entry Financial Ledger,6,1373,1378,finance,finance:1.2,access:0.2,fnb:0.2,
5,F&B & Guest Management,5.12,Revenue Recognition,120,1379,1498,finance,finance:0.6,reporting:0.2,catalogue:0.1,
6,Retail POS,6.1,Wallet,78,1499,1576,retail,reporting:1.9,orders:0.4,finance:0.3,YES
7,F&B POS,7.1,Retail POS,62,1577,1638,fnb,identity:1.1,catalogue:0.1,orders:0.1,YES
7,F&B POS,7.2,F&B POS - Modifiers,2,1639,1640,fnb,catalogue:1.0,orders:0.5,marketing-crm:0.5,YES
7,F&B POS,7.3,F&B POS - Menu Management,10,1641,1650,fnb,marketing-crm:1.0,orders:0.7,catalogue:0.4,YES
7,F&B POS,7.4,Table Reservation,52,1651,1702,fnb,catalogue:0.8,orders:0.3,promotions:0.3,YES
7,F&B POS,7.5,Kitchen Display,10,1703,1712,fnb,access:0.5,reporting:0.3,workforce:0.2,
7,F&B POS,7.6,Inventory Management Integration,15,1713,1727,fnb,orders:1.3,maintenance:1.0,reporting:0.9,YES
8,Unified Operations Dashboard,8.1,AI Configuration Assistant,6,1728,1733,reporting,promotions:1.8,ai:0.5,marketing-crm:0.3,YES
8,Unified Operations Dashboard,8.1,AI Governance & Explainability,7,1734,1740,reporting,ai:1.0,reporting:0.3,approvals:0.3,YES
8,Unified Operations Dashboard,8.2,Demand Forecasting,58,1741,1798,reporting,ai:1.0,workforce:0.4,catalogue:0.1,YES
8,Unified Operations Dashboard,8.3,Fraud Detection,54,1799,1852,reporting,orders:0.1,finance:0.0,identity:0.0,
8,Unified Operations Dashboard,8.3,AI Governance,29,1853,1881,reporting,ai:0.9,approvals:0.2,identity:0.1,YES
8,Unified Operations Dashboard,8.4,AI Engine,38,1882,1919,reporting,ai:0.3,promotions:0.1,reporting:0.1,
8,Unified Operations Dashboard,8.5,Dynamic Pricing,46,1920,1965,reporting,reporting:0.1,approvals:0.1,ai:0.0,
8,Unified Operations Dashboard,8.6,Recommendation Engine,36,1966,2001,reporting,promotions:0.3,marketing-crm:0.1,reporting:0.1,
8,Unified Operations Dashboard,8.7,BI & Reporting,34,2002,2035,reporting,reporting:1.1,access:0.1,ai:0.1,
8,Unified Operations Dashboard,8.8,AI Configuration Assistant,14,2036,2049,reporting,promotions:0.7,catalogue:0.4,ai:0.4,YES
8,Unified Operations Dashboard,8.9,Operations Command Center,10,2050,2059,reporting,queue:0.6,reporting:0.5,access:0.3,
10,Games & F&B Integration,10.1,Kitchen Display & Inventory Sync,5,2060,2064,games,fnb:1.0,inventory:0.8,catalogue:0.6,YES
10,Games & F&B Integration,10.2,Game & Ride Payment & Redemption,20,2065,2084,games,games:2.8,white-label:0.1,orders:0.1,
11,Approval Workflows & Governance,11.1,Accounting,80,2085,2164,approvals,approvals:1.9,reporting:0.2,identity:0.1,
12,Accreditation & Credential Management,12.1,Reporting  and Dashboards,58,2165,2222,identity,identity:0.3,reporting:0.2,approvals:0.1,
13,Developer & API Management,13.1,Reporting  and Dashboards,50,2223,2272,identity,reporting:0.2,identity:0.2,catalogue:0.0,
13,Developer & API Management,13.2,Sandbox,20,2273,2292,identity,identity:0.1,catalogue:0.1,reporting:0.1,
13,Developer & API Management,13.3,API Business Coverage,24,2293,2316,identity,orders:0.5,access:0.2,ai:0.2,YES
15,Inventory Management,15.1,Inventory Management,38,2317,2354,inventory,inventory:0.9,catalogue:0.2,orders:0.1,
15,Inventory Management,15.2,Warehouse Management,22,2355,2376,inventory,inventory:0.5,access:0.3,retail:0.1,
15,Inventory Management,15.3,Procurement,18,2377,2394,inventory,inventory:1.2,orders:0.2,reporting:0.2,
15,Inventory Management,15.4,Inventory Planning,9,2395,2403,inventory,inventory:1.2,ai:0.7,orders:0.2,
15,Inventory Management,15.5,Enterprise Features,11,2404,2414,inventory,inventory:1.8,approvals:0.5,reporting:0.4,
16,Device Management,16.1,Device Registration,6,2415,2420,identity,finance:0.7,ai:0.3,catalogue:0.0,YES
16,Device Management,16.2,Device Inventory,6,2421,2426,identity,maintenance:0.3,inventory:0.2,catalogue:0.0,
16,Device Management,16.3,Device Configuration,5,2427,2431,identity,catalogue:0.0,orders:0.0,access:0.0,
16,Device Management,16.4,Device Monitoring,6,2432,2437,identity,catalogue:0.0,orders:0.0,access:0.0,
16,Device Management,16.5,Device Maintenance,6,2438,2443,identity,maintenance:2.0,orders:0.3,catalogue:0.0,YES
16,Device Management,16.6,Firmware & Software Management,5,2444,2448,identity,catalogue:0.0,orders:0.0,access:0.0,
16,Device Management,16.7,Security,6,2449,2454,identity,identity:0.7,catalogue:0.0,orders:0.0,
16,Device Management,16.8,Device Integrations,10,2455,2464,identity,access:1.0,finance:0.1,catalogue:0.0,YES
16,Device Management,16.9,Enterprise Features,10,2465,2474,identity,reporting:0.6,marketing-crm:0.2,maintenance:0.2,YES
17,Maintenance & Safety Management,17.1,Asset Management,8,2475,2482,maintenance,maintenance:1.8,catalogue:0.0,orders:0.0,
17,Maintenance & Safety Management,17.2,Preventive Maintenance Planning,7,2483,2489,maintenance,maintenance:2.3,catalogue:0.3,orders:0.3,
17,Maintenance & Safety Management,17.3,Corrective Maintenance & Incident,7,2490,2496,maintenance,maintenance:0.9,approvals:0.3,catalogue:0.0,
17,Maintenance & Safety Management,17.4,Work Order Management,8,2497,2504,maintenance,orders:2.0,maintenance:2.0,approvals:0.5,
17,Maintenance & Safety Management,17.5,Safety & Compliance,10,2505,2514,maintenance,maintenance:1.6,reporting:0.6,approvals:0.2,
17,Maintenance & Safety Management,17.6,Spare Parts & Procurement,5,2515,2519,maintenance,maintenance:1.8,inventory:0.8,orders:0.4,
17,Maintenance & Safety Management,17.7,Maintenance Reporting & Analytics,5,2520,2524,maintenance,reporting:2.0,maintenance:1.6,catalogue:0.0,
18,Employee Mobile App & AI Assistant,18.1,Mobile App Core (iOS & Android),5,2525,2529,workforce,white-label:0.4,catalogue:0.0,orders:0.0,
18,Employee Mobile App & AI Assistant,18.2,Work Order Management,7,2530,2536,workforce,orders:2.0,maintenance:2.0,catalogue:0.0,YES
18,Employee Mobile App & AI Assistant,18.3,Asset Scanning & Lookup,5,2537,2541,workforce,maintenance:1.8,access:0.8,catalogue:0.0,YES
18,Employee Mobile App & AI Assistant,18.4,Safety & Incident Reporting,6,2542,2547,workforce,maintenance:1.2,reporting:1.0,catalogue:0.0,YES
18,Employee Mobile App & AI Assistant,18.5,Media Capture & Notes,5,2548,2552,workforce,catalogue:0.0,orders:0.0,access:0.0,
18,Employee Mobile App & AI Assistant,18.6,Approvals & Notifications,4,2553,2556,workforce,approvals:1.8,catalogue:0.0,orders:0.0,YES
18,Employee Mobile App & AI Assistant,18.7,Inventory & Stock Management,4,2557,2560,workforce,inventory:1.5,finance:0.5,catalogue:0.0,YES
18,Employee Mobile App & AI Assistant,18.8,Ticket & Membership Scanning,4,2561,2564,workforce,access:1.2,identity:0.2,catalogue:0.0,YES
18,Employee Mobile App & AI Assistant,18.9,Attendance & Communications,5,2565,2569,workforce,workforce:0.2,catalogue:0.0,orders:0.0,
18,Employee Mobile App & AI Assistant,18.10,AI Assistant & Voice Interface,5,2570,2574,workforce,ai:0.8,orders:0.4,maintenance:0.4,YES
19,Guest Mobile App & Branding,19.1,Branding & White-Label Configuration,24,2575,2598,white-label,white-label:0.2,promotions:0.1,finance:0.1,
19,Guest Mobile App & Branding,19.2,Authentication & Login,83,2599,2681,white-label,orders:0.4,finance:0.2,promotions:0.1,
20,Subscription & Licensing Management,20.1,Self-Service Onboarding,6,2682,2687,subscription,ai:0.2,subscription:0.2,catalogue:0.0,
20,Subscription & Licensing Management,20.2,Subscription Management,8,2688,2695,subscription,subscription:1.6,orders:0.2,catalogue:0.0,
20,Subscription & Licensing Management,20.3,Licensing Models,7,2696,2702,subscription,workforce:0.3,catalogue:0.0,orders:0.0,
20,Subscription & Licensing Management,20.4,Module Marketplace & Management,10,2703,2712,subscription,finance:0.4,seating:0.1,marketing-crm:0.1,
20,Subscription & Licensing Management,20.5,License Enforcement & Renewal,8,2713,2720,subscription,subscription:1.8,identity:0.2,access:0.1,
20,Subscription & Licensing Management,20.6,Usage & Quota Monitoring,8,2721,2728,subscription,reporting:0.2,workforce:0.2,catalogue:0.0,
20,Subscription & Licensing Management,20.7,Billing & Payment,7,2729,2735,subscription,finance:0.7,subscription:0.3,catalogue:0.0,YES
20,Subscription & Licensing Management,20.8,Customer Support & Helpdesk,5,2736,2740,subscription,ai:1.4,subscription:0.6,orders:0.4,YES
21,Seat Management & Venue Mapping,21.1,Seat Map Builder,9,2741,2749,seating,seating:0.6,access:0.1,catalogue:0.0,
21,Seat Management & Venue Mapping,21.2,Seat Map Import,17,2750,2766,seating,seating:1.2,ai:0.9,access:0.1,
21,Seat Management & Venue Mapping,21.3,Layout & Templates,7,2767,2773,seating,seating:0.9,catalogue:0.0,orders:0.0,
21,Seat Management & Venue Mapping,21.4,Seat Tracking & Holds,8,2774,2781,seating,seating:2.0,orders:0.2,finance:0.2,
21,Seat Management & Venue Mapping,21.5,Seat Selection & Assignment,24,2782,2805,seating,seating:1.5,orders:0.2,ai:0.1,
21,Seat Management & Venue Mapping,21.6,Seat Holds & Blocks,8,2806,2813,seating,seating:1.5,catalogue:0.0,orders:0.0,
21,Seat Management & Venue Mapping,21.7,Seating Rules & Buffer,6,2814,2819,seating,seating:1.0,catalogue:0.0,orders:0.0,
21,Seat Management & Venue Mapping,21.8,Accessible Seating,4,2820,2823,seating,seating:1.5,catalogue:0.0,orders:0.0,
21,Seat Management & Venue Mapping,21.9,Group Reservations & Blocks,5,2824,2828,seating,seating:1.6,orders:1.2,finance:1.2,
21,Seat Management & Venue Mapping,21.10,Seat Recommendations,7,2829,2835,seating,seating:1.1,orders:0.3,catalogue:0.0,
21,Seat Management & Venue Mapping,21.11,Seat Revenue Management & Forecasting,5,2836,2840,seating,seating:1.6,ai:1.2,promotions:0.4,
21,Seat Management & Venue Mapping,21.12,Seat Reporting & Analytics,6,2841,2846,seating,reporting:2.0,seating:1.0,inventory:0.3,YES
21,Seat Management & Venue Mapping,21.13,Seat Platform & API,6,2847,2852,seating,seating:1.3,identity:0.3,approvals:0.3,
22,Marketing & CRM,22.1,Campaign Management,20,2853,2872,marketing-crm,marketing-crm:0.8,promotions:0.7,orders:0.2,
22,Marketing & CRM,22.2,Guest Profiles & Data Management,28,2873,2900,marketing-crm,marketing-crm:0.9,orders:0.5,ai:0.3,
22,Marketing & CRM,22.3,Case Management & SLA,32,2901,2932,marketing-crm,marketing-crm:1.2,promotions:0.5,orders:0.3,
22,Marketing & CRM,22.4,Newsletter & Email Marketing,20,2933,2952,marketing-crm,marketing-crm:1.8,promotions:0.3,ai:0.3,
22,Marketing & CRM,22.5,Reviews & Ratings,20,2953,2972,marketing-crm,marketing-crm:1.8,ai:0.5,white-label:0.3,
22,Marketing & CRM,22.6,Gamification & Loyalty,20,2973,2992,marketing-crm,marketing-crm:1.1,ai:0.2,workforce:0.2,
22,Marketing & CRM,22.7,Surveys & Feedback,21,2993,3013,marketing-crm,marketing-crm:2.0,ai:0.3,reporting:0.3,
22,Marketing & CRM,22.8,Omnichannel Communications & AI Chatbot,26,3014,3039,marketing-crm,ai:0.6,marketing-crm:0.6,orders:0.5,
22,Marketing & CRM,22.9,Notifications & Messaging,25,3040,3064,marketing-crm,marketing-crm:0.6,orders:0.4,approvals:0.3,
22,Marketing & CRM,22.10,Marketing,30,3065,3094,marketing-crm,marketing-crm:0.6,white-label:0.5,ai:0.3,
22,Marketing & CRM,22.11,SEO Management & Optimization,12,3095,3106,marketing-crm,catalogue:0.3,reporting:0.2,ai:0.2,
22,Marketing & CRM,22.12,Digital Waivers & Signature Management,20,3107,3126,marketing-crm,orders:1.6,marketing-crm:0.2,access:0.2,YES
22,Marketing & CRM,22.13,Consent Management,20,3127,3146,marketing-crm,marketing-crm:1.9,reporting:0.5,orders:0.1,
22,Marketing & CRM,22.14,Audience Segmentation,25,3147,3171,marketing-crm,marketing-crm:1.7,ai:0.4,orders:0.3,
23,Digital Asset Management,23.1,Digital Asset Management,15,3172,3186,assets,maintenance:1.0,white-label:0.2,ai:0.1,YES
